Program ID,Broad Field,Field,Institution Name,Program Name,Total Faculty (2006),Number of Allocated Faculty (2006),Assistant Professors as a Percent of Total Faculty (2006),Tenured Faculty as a Percent of Total Faculty (2006),Number of Core and New Faculty (2006),Number of Students Enrolled (Fall 2005),Average Annual First Year Enrollment (2002-2006),Percent of Students with Research Assistantships (Fall 2005),Percent of Students with Teaching Assistantships (Fall 2005),Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships
20040419,Social and Behavioral Sciences,Anthropology,Southern Illinois University Carbondale,Anthropology,35,22.42,3%,71%,19,32,4.4,3.1%,3.1%,25%,0%,12.5%,12.5%
20043238,Social and Behavioral Sciences,Anthropology,Southern Methodist University,Anthropology,17,17,18%,82%,17,44,7.6,3.4%,18.4%,,6.3%,,
20052355,Social and Behavioral Sciences,Anthropology,Stanford University,Anthropological Sciences,18,13.75,39%,44%,12,29,4.4,16.7%,16.7%,100%,0%,,
20052520,Social and Behavioral Sciences,Anthropology,Stanford University,Cultural and Social Anthropology,19,14.33,26%,53%,14,49,8.2,4.2%,10.4%,100%,0%,0%,0%
20033484,Social and Behavioral Sciences,Anthropology,State University of New York At Albany,Anthropology,22,19.73,9%,68%,19,65,10.4,8.3%,37.5%,0%,0%,11.8%,0%
20037383,Social and Behavioral Sciences,Anthropology,State University of New York At Binghamton,Anthropology,35,27.28,6%,71%,27,122,16.6,0%,37.9%,23.5%,0%,0%,0%
20038418,Social and Behavioral Sciences,Anthropology,State University of New York At Buffalo,Anthropology,20,18.18,,,19,78,13,0%,12.9%,0%,0%,8.3%,0%
20038214,Social and Behavioral Sciences,Anthropology,State University of New York At Stony Brook,Interdepartmental Doctoral Pgm in Anthropological Sci,31,21.58,16%,77%,28,43,6.4,14%,37.2%,0%,0%,12.5%,0%
20022466,Social and Behavioral Sciences,Anthropology,Syracuse University Main Campus,Anthropology,31,18.82,10%,87%,14,78,11,3.3%,23.3%,8.3%,16.7%,0%,0%
20042187,Social and Behavioral Sciences,Anthropology,Temple University,Anthropology,19,18,11%,68%,17,74,13.2,2.1%,14.6%,66.7%,0%,0%,0%
20021946,Social and Behavioral Sciences,Anthropology,Texas A & M University,Anthropology,22,20.75,,,22,59,10.4,25.6%,38.5%,14.3%,0%,14.3%,0%
20025764,Social and Behavioral Sciences,Anthropology,Tulane University,Anthropology,16,16,0%,75%,16,66,7,1.5%,0%,0%,0%,100%,0%
20070065,Social and Behavioral Sciences,Anthropology,Uc Berkeley/uc San Francisco,Medical Anthropology,25,10.5,16%,80%,20,28,4.2,0%,0%,100%,0%,0%,0%
20027966,Social and Behavioral Sciences,Anthropology,University of Alaska Fairbanks,Anthropology,27,16.6,15%,70%,12,19,4.6,0%,33.3%,100%,0%,0%,0%
20033798,Social and Behavioral Sciences,Anthropology,University of Arizona,Anthropology,73,53.95,15%,,49,143,19.8,1.8%,2.8%,0%,76.9%,15.4%,0%
20060664,Social and Behavioral Sciences,Anthropology,University of California-Berkeley,Anthropology,38,29.48,11%,89%,31,110,17,0%,0%,0%,13%,60.9%,0%
20066972,Social and Behavioral Sciences,Anthropology,University of California-Davis,Anthropology,44,27.33,16%,70%,25,64,12.6,12.7%,56.4%,0%,0%,0%,0%
20049025,Social and Behavioral Sciences,Anthropology,University of California-Irvine,Anthropology,33,18.33,12%,85%,18,39,6.2,0%,0%,0%,44.4%,55.6%,0%
20053008,Social and Behavioral Sciences,Anthropology,University of California-Los Angeles,Anthropology,50,29.89,12%,82%,36,60,5.6,1.6%,3.2%,0%,44.4%,55.6%,0%
20048709,Social and Behavioral Sciences,Anthropology,University of California-Riverside,Anthropology,16,14.8,19%,81%,16,61,11.6,0%,26.2%,66.7%,6.7%,0%,6.7%
20065517,Social and Behavioral Sciences,Anthropology,University of California-San Diego,Anthropology,24,23.22,17%,79%,24,55,12,1%,24%,28.6%,14.3%,0%,0%
20070120,Social and Behavioral Sciences,Anthropology,University of California-Santa Barbara,Anthropology,26,17.12,8%,88%,16,66,13,4.5%,13.6%,42.9%,0%,0%,0%
20023591,Social and Behavioral Sciences,Anthropology,University of California-Santa Cruz,Anthropology,43,26.24,19%,81%,32,50,7.8,2.6%,10.3%,33.3%,0%,50%,0%
20014209,Social and Behavioral Sciences,Anthropology,University of Chicago,Anthropology,50,28.73,14%,82%,31,218,20.2,0%,0%,42.9%,28.6%,,
20063836,Social and Behavioral Sciences,Anthropology,University of Colorado At Boulder,Anthropology,24,23.17,21%,75%,23,31,4,4%,36%,0%,0%,100%,0%
20023818,Social and Behavioral Sciences,Anthropology,University of Connecticut,Anthropology PhD,31,18.15,13%,71%,15,78,14.33,0%,52.7%,0%,0%,28.6%,0%
20012939,Social and Behavioral Sciences,Anthropology,University of Florida,Anthropology,53,40.75,15%,68%,33,138,26.8,5.1%,15.2%,0%,10.5%,26.3%,0%
20019589,Social and Behavioral Sciences,Anthropology,University of Georgia,Anthropology,38,17.31,26%,63%,16,48,10.2,8.6%,37.1%,0%,0%,0%,0%
20014665,Social and Behavioral Sciences,Anthropology,University of Hawaii At Manoa,Anthropology,26,21.55,8%,73%,20,46,6.6,11.4%,31.8%,,11.1%,,
20042721,Social and Behavioral Sciences,Anthropology,University of Illinois At Chicago,Anthropology,32,28.78,13%,88%,29,24,8.6,4%,0%,0%,0%,0%,0%
20038780,Social and Behavioral Sciences,Anthropology,University of Illinois At Urbana-Champaign,Anthropology,41,29.5,27%,68%,33,62,10.2,12.3%,36.8%,28.6%,0%,0%,0%
20020426,Social and Behavioral Sciences,Anthropology,University of Iowa,Anthropology,25,21.41,20%,60%,21,50,8.6,4.2%,35.4%,22.2%,0%,0%,0%
20051039,Social and Behavioral Sciences,Anthropology,University of Kansas,Anthropology,31,20.43,16%,77%,20,26,5,23.1%,38.5%,0%,0%,0%,0%
20028062,Social and Behavioral Sciences,Anthropology,University of Kentucky,Anthropology,45,14.54,7%,89%,10,42,8,9.5%,31%,16.7%,0%,0%,0%
20047836,Social and Behavioral Sciences,Anthropology,University of Massachusetts Amherst,Anthropology,56,25.84,7%,84%,22,73,9.6,10.3%,41.4%,10%,0%,10%,0%
20035136,Social and Behavioral Sciences,Anthropology,University of Michigan-Ann Arbor,Anthropology,133,48.81,11%,84%,49,97,20.4,13.4%,35.1%,40%,0%,0%,0%
20035149,Social and Behavioral Sciences,Anthropology,University of Michigan-Ann Arbor,Anthropology and History,43,10,16%,79%,21,19,5.2,0%,42.1%,80%,20%,0%,0%
20039608,Social and Behavioral Sciences,Anthropology,University of Minnesota-Twin Cities,Anthropology.,23,20.06,26%,57%,21,61,7.6,0%,64.1%,14.3%,0%,0%,0%
20025191,Social and Behavioral Sciences,Anthropology,University of Missouri - Columbia,Anthropology,20,16.48,20%,60%,13,25,3.6,48%,28%,0%,0%,0%,0%
20014979,Social and Behavioral Sciences,Anthropology,University of Nevada Reno,Anthropology,15,13,7%,67%,11,8,1.8,0%,44.4%,,,,
20015208,Social and Behavioral Sciences,Anthropology,University of New Mexico Main Campus,Anthropology,32,29.03,13%,72%,27,158,23.6,3.5%,5.8%,0%,0%,23.8%,0%
20045074,Social and Behavioral Sciences,Anthropology,University of North Carolina At Chapel Hill,Anthropology,36,28.2,17%,69%,27,66,9.8,7.8%,53.1%,54.5%,0%,0%,0%
20051592,Social and Behavioral Sciences,Anthropology,University of Oklahoma Norman Campus,Anthropology,21,19.17,48%,38%,18,29,5.6,38.1%,47.6%,,,,
20043801,Social and Behavioral Sciences,Anthropology,University of Oregon,Anthropology,22,21,32%,55%,20,28,6.6,0%,48.4%,,,,
20036672,Social and Behavioral Sciences,Anthropology,University of Pennsylvania,Anthropology,57,41.02,11%,63%,46,106,7.8,5.7%,21.4%,75%,25%,0%,0%
20049517,Social and Behavioral Sciences,Anthropology,University of Pittsburgh Pittsburgh Campus,Anthropology,33,27.29,12%,64%,25,53,11.2,2%,41.2%,37.5%,0%,0%,0%
20024778,Social and Behavioral Sciences,Anthropology,University of South Florida,Anthropology,93,58.91,23%,71%,26,74,11.2,17.6%,20.6%,11.1%,0%,0%,0%
20045650,Social and Behavioral Sciences,Anthropology,University of Tennessee,Anthropology,38,21.68,8%,61%,17,33,7.4,11.5%,73.1%,0%,0%,0%,0%
20061317,Social and Behavioral Sciences,Anthropology,University of Texas At Austin,Anthropology,46,34.09,24%,74%,38,124,15.4,0.8%,36.9%,15.4%,0%,7.7%,0%
20047438,Social and Behavioral Sciences,Anthropology,University of Utah,Anthropology,26,14.49,4%,92%,13,21,6.6,10.5%,42.1%,*,*,*,*
20023177,Social and Behavioral Sciences,Anthropology,University of Virginia,Anthropology,31,26.84,19%,74%,26,58,8.8,5.2%,0%,22.2%,11.1%,55.6%,0%
20059413,Social and Behavioral Sciences,Anthropology,University of Washington,Anthropology,112,50.46,15%,70%,40,87,16.4,22.5%,28.2%,8.3%,8.3%,0%,0%
20030319,Social and Behavioral Sciences,Anthropology,University of Wisconsin-Madison,Anthropology,23,21.3,22%,,23,68,12.4,1.6%,27%,33.3%,0%,0%,0%
20026572,Social and Behavioral Sciences,Anthropology,University of Wisconsin-Milwaukee,Anthropology,18,17.89,28%,72%,18,35,4.8,0%,0%,0%,0%,40%,0%
20058317,Social and Behavioral Sciences,Anthropology,Washington State University,Anthropology,23,18.87,30%,70%,17,41,7.4,0%,50%,0%,0%,0%,0%
20069694,Social and Behavioral Sciences,Anthropology,Washington University In St. Louis,Anthropology,36,27.87,28%,72%,28,56,8,3.6%,30.4%,100%,,,
20021535,Social and Behavioral Sciences,Anthropology,Wayne State University,Anthropology,15,14.42,40%,40%,15,42,3.6,17.9%,7.1%,0%,0%,0%,0%
20063289,Social and Behavioral Sciences,Anthropology,Yale University,Anthropology,40,22.63,20%,53%,23,60,9.6,0%,0%,71.4%,14.3%,14.3%,0%
20034904,Social and Behavioral Sciences,Communication,Arizona State University,Communication,25,20.56,,,19,64,12.6,4.3%,76.6%,0%,0%,14.3%,0%
20034768,Social and Behavioral Sciences,Communication,Bowling Green State University,Communication Studies,22,21.12,23%,64%,22,64,12,0%,53.2%,0%,8.3%,0%,0%
20015664,Social and Behavioral Sciences,Communication,Cornell University,Communication,15,13.01,27%,67%,13,16,4,15.8%,42.1%,33.3%,0%,0%,0%
20027225,Social and Behavioral Sciences,Communication,Florida State University,Communication,20,20,25%,65%,20,39,6.8,0%,0%,0%,0%,0%,0%
20051466,Social and Behavioral Sciences,Communication,Georgia State University,Communication,22,21.64,14%,82%,22,50,10.8,0%,0%,0%,0%,0%,84.2%
20025971,Social and Behavioral Sciences,Communication,Howard University,Communications,22,21.93,5%,86%,22,36,12.2,0%,100%,0%,,,
20046248,Social and Behavioral Sciences,Communication,Indiana University At Bloomington,Communication & Culture,49,22.17,16%,73%,23,74,13.8,1.4%,82.4%,0%,0%,10%,0%
20046471,Social and Behavioral Sciences,Communication,Indiana University At Bloomington,Mass Communications,39,20.66,10%,85%,20,28,3.6,0%,0%,0%,0%,100%,0%
20046484,Social and Behavioral Sciences,Communication,Indiana University At Bloomington,Mass Communications (Tel),35,18.07,26%,69%,17,43,7.6,20.9%,37.2%,0%,0%,0%,20%
20040749,Social and Behavioral Sciences,Communication,Kent State University Main Campus,Communication Studies,21,13.42,19%,76%,9,24,5.2,0%,100%,0%,0%,0%,0%
20058029,Social and Behavioral Sciences,Communication,Louisiana State University And Agricultural And Mechanical College,Communication Studies,36,16.25,11%,89%,11,29,6.6,9.5%,76.2%,0%,0%,0%,0%
20058171,Social and Behavioral Sciences,Communication,Louisiana State University And Agricultural And Mechanical College,Mass Communication & Public Affairs,32,24.39,38%,56%,25,17,5,0%,0%,0%,25%,75%,0%
20046824,Social and Behavioral Sciences,Communication,Michigan State University,Communication,44,20.14,11%,77%,18,24,6.4,0%,45.8%,16.7%,0%,16.7%,0%
20046837,Social and Behavioral Sciences,Communication,Michigan State University,Communication Arts & Sciences Media and Information Studies,71,34.57,21%,76%,28,49,10,18.4%,20.4%,0%,0%,37.5%,0%
20062316,Social and Behavioral Sciences,Communication,New Mexico State University Main Campus,Rhetoric & Professional Communication,10,8.5,40%,60%,7,24,4.8,,,,,,
20064259,Social and Behavioral Sciences,Communication,New York University,Culture and Communications,27,22.83,26%,67%,19,35,4.8,0%,44.4%,0%,0%,0%,0%
20026857,Social and Behavioral Sciences,Communication,North Dakota State University Main Campus,Communication,11,10,9%,82%,11,30,8,0%,100%,0%,0%,0%,0%
20068831,Social and Behavioral Sciences,Communication,Northwestern University,Communication Studies,41,25.84,15%,78%,23,36,7.4,0%,47.2%,0%,0%,0%,0%
20028897,Social and Behavioral Sciences,Communication,Ohio State University Main Campus,Communication,18,18,28%,67%,18,32,8.75,28.6%,39.3%,0%,0%,0%,36.4%
20013860,Social and Behavioral Sciences,Communication,Ohio University Main Campus,Communication Studies,30,21.98,7%,90%,20,46,10.4,0%,0%,0%,100%,0%,0%
20013873,Social and Behavioral Sciences,Communication,Ohio University Main Campus,Mass Communications,81,48.62,7%,86%,29,43,10,14.3%,60.7%,0%,0%,0%,0%
20031282,Social and Behavioral Sciences,Communication,Penn State University,Communication Arts and Sciences,76,24.01,16%,80%,16,57,10.4,5.9%,42.6%,11.8%,0%,0%,52.9%
20031538,Social and Behavioral Sciences,Communication,Penn State University,Mass Communications,70,34.56,21%,76%,29,60,15,0%,0%,14.3%,7.1%,0%,35.7%
20055747,Social and Behavioral Sciences,Communication,Purdue University Main Campus,Communication,45,28.73,31%,64%,26,68,15.4,10.5%,63.2%,0%,0%,28.6%,0%
20044826,Social and Behavioral Sciences,Communication,Rensselaer Polytechnic Institute,Communication and Rhetoric,36,23.61,19%,78%,21,22,6,5%,35%,0%,0%,0%,0%
20012463,Social and Behavioral Sciences,Communication,Rutgers The State University of New Jersey New Brunswick Campus,"Communication, Information, and Library Studies",43,42.67,21%,53%,43,126,19.4,23%,29.5%,0%,0%,0%,0%
20040493,Social and Behavioral Sciences,Communication,Southern Illinois University Carbondale,Mass Communications and Media Arts,20,20,5%,45%,20,29,4.8,37.5%,31.3%,0%,0%,0%,0%
20040600,Social and Behavioral Sciences,Communication,Southern Illinois University Carbondale,Speech Communication,19,19,11%,68%,19,39,11,4.8%,59.5%,9.1%,0%,0%,18.2%
20052481,Social and Behavioral Sciences,Communication,Stanford University,Communication,26,11.99,8%,81%,9,29,5.2,24.1%,20.7%,75%,25%,0%,0%
20038489,Social and Behavioral Sciences,Communication,State University of New York At Buffalo,Communication,11,11,,,11,42,8.8,6.7%,36.7%,0%,0%,0%,0%
20022602,Social and Behavioral Sciences,Communication,Syracuse University Main Campus,Mass Communications,11,10.94,9%,91%,11,19,4.4,33.3%,33.3%,50%,0%,0%,0%
20042284,Social and Behavioral Sciences,Communication,Temple University,Mass Media & Communication,18,17,11%,83%,16,39,8.2,11.1%,0%,16.7%,0%,0%,33.3%
20021959,Social and Behavioral Sciences,Communication,Texas A & M University,"Communications, Telecomm. & Media",23,21,,,19,39,8.6,0%,45.8%,0%,0%,11.1%,0%
20070104,Social and Behavioral Sciences,Communication,University of Alabama,Communication,29,28.8,10%,79%,29,48,10.2,34.1%,20.5%,13.6%,0%,0%,0%
20033918,Social and Behavioral Sciences,Communication,University of Arizona,Communication,23,12.38,22%,,10,19,4.2,5.6%,61.1%,0%,0%,0%,20%
20065591,Social and Behavioral Sciences,Communication,University of California-San Diego,Communication,27,23.1,37%,63%,24,40,7.4,12.2%,22%,42.9%,0%,14.3%,0%
20070188,Social and Behavioral Sciences,Communication,University of California-Santa Barbara,Communication,39,24.11,13%,77%,20,28,5.8,7.1%,17.9%,0%,0%,42.9%,14.3%
20063917,Social and Behavioral Sciences,Communication,University of Colorado At Boulder,Communication,32,31,31%,59%,30,62,13.4,5.4%,51.8%,0%,0%,16.7%,0%
20068666,Social and Behavioral Sciences,Communication,University of Connecticut,Business Administration PhD Marketing,12,8.89,0%,75%,8,11,2.67,0%,0%,0%,0%,0%,100%
20068682,Social and Behavioral Sciences,Communication,University of Connecticut,Communication Sciences: Commun Processes & Marketing Comm,15,11.26,13%,73%,12,33,6,19%,76.2%,0%,0%,0%,0%
20019835,Social and Behavioral Sciences,Communication,University of Georgia,Mass Communication,52,39.14,15%,77%,35,27,6.6,0%,0%,0%,0%,0%,0%
20013239,Social and Behavioral Sciences,Communication,University of Florida,Mass Communication,34,34,9%,79%,34,56,15.4,2%,7.8%,30%,0%,0%,20%
20019990,Social and Behavioral Sciences,Communication,University of Georgia,Speech Communication,16,14.76,25%,69%,16,22,5.4,0%,73.7%,0%,0%,0%,16.7%
20014733,Social and Behavioral Sciences,Communication,University of Hawaii At Manoa,Communication & Information Science,32,29.83,13%,81%,29,56,9,26.3%,42.1%,,0%,,
20038900,Social and Behavioral Sciences,Communication,University of Illinois At Urbana-Champaign,Communications,48,20.96,17%,79%,19,58,7.6,8.9%,30.4%,12.5%,0%,25%,12.5%
20039336,Social and Behavioral Sciences,Communication,University of Illinois At Urbana-Champaign,Speech Communication,45,24.03,24%,76%,28,43,4.8,14%,55.8%,0%,0%,42.9%,0%
20020439,Social and Behavioral Sciences,Communication,University of Iowa,Communication Studies,18,14.77,22%,72%,13,72,12.6,1.6%,62.9%,11.1%,0%,0%,0%
20020442,Social and Behavioral Sciences,Communication,University of Iowa,Mass Communications,17,16.91,24%,76%,17,25,5,0%,40.9%,33.3%,0%,0%,0%
20051107,Social and Behavioral Sciences,Communication,University of Kansas,Communication Studies,39,20.3,23%,77%,17,48,10.6,0%,46.8%,0%,0%,0%,16.7%
20028130,Social and Behavioral Sciences,Communication,University of Kentucky,Communication,60,31.4,5%,80%,24,40,11.2,2.9%,50%,0%,0%,25%,0%
20050124,Social and Behavioral Sciences,Communication,University of Maryland College Park,Communication,26,20.18,12%,69%,19,46,8.6,2.4%,43.9%,0%,0%,44.4%,0%
20050292,Social and Behavioral Sciences,Communication,University of Maryland College Park,Journalism and Public Communication,24,21.02,0%,92%,21,29,6,8%,40%,0%,0%,0%,0%
20047881,Social and Behavioral Sciences,Communication,University of Massachusetts Amherst,Communication,53,22.88,11%,81%,20,64,9.8,0%,58.7%,0%,0%,8.3%,0%
20027814,Social and Behavioral Sciences,Communication,University of Memphis,Communication,33,24.5,15%,67%,16,34,4.5,17.6%,82.4%,0%,0%,0%,0%
20050797,Social and Behavioral Sciences,Communication,University of Miami,Communication,51,46,29%,61%,44,10,2.4,0%,0%,*,*,*,*
20035327,Social and Behavioral Sciences,Communication,University of Michigan-Ann Arbor,Communication Studies,30,16.26,27%,73%,16,22,4.6,0%,57.9%,60%,0%,0%,0%
20039763,Social and Behavioral Sciences,Communication,University of Minnesota-Twin Cities,Communication Studies,21,18.71,10%,81%,20,30,6,0%,72.7%,0%,0%,0%,0%
20040040,Social and Behavioral Sciences,Communication,University of Minnesota-Twin Cities,Mass Communication,25,22.68,20%,60%,22,40,5.6,3.4%,51.7%,20%,0%,60%,0%
20025298,Social and Behavioral Sciences,Communication,University of Missouri - Columbia,Communication,13,12.41,23%,69%,12,35,6.6,0%,54.3%,0%,0%,62.5%,0%
20070683,Social and Behavioral Sciences,Communication,University of Missouri - Columbia,Journalism,19,18.59,16%,79%,19,38,10.8,0%,0%,0%,0%,100%,0%
20017264,Social and Behavioral Sciences,Communication,University of Nebraska - Lincoln,Communication Studies,9,8.5,22%,56%,8,25,5,0%,46.2%,*,*,*,*
20015253,Social and Behavioral Sciences,Communication,University of New Mexico Main Campus,Communication,17,17,41%,59%,17,35,7.2,0%,58.3%,0%,0%,0%,0%
20045359,Social and Behavioral Sciences,Communication,University of North Carolina At Chapel Hill,Journalism and Mass Communication,43,29.36,23%,72%,25,38,10.6,56.3%,18.8%,12.5%,0%,0%,0%
20070638,Social and Behavioral Sciences,Communication,University of North Carolina At Chapel Hill,Communication Studies,45,24.81,22%,73%,22,31,6.6,0%,66.7%,0%,25%,0%,0%
20051631,Social and Behavioral Sciences,Communication,University of Oklahoma Norman Campus,Communication,29,19.71,24%,76%,17,59,10.8,8.6%,68.6%,0%,0%,0%,0%
20043830,Social and Behavioral Sciences,Communication,University of Oregon,Communication and Society,21,20,10%,71%,20,24,5.2,0%,0%,0%,0%,0%,100%
20036834,Social and Behavioral Sciences,Communication,University of Pennsylvania,Communication(Annenberg),22,19.29,14%,82%,20,91,16.2,42.9%,16.5%,0%,0%,0%,0%
20049627,Social and Behavioral Sciences,Communication,University of Pittsburgh Pittsburgh Campus,Communication,12,9.57,0%,92%,9,40,6.4,0%,62.5%,50%,0%,0%,0%
20067832,Social and Behavioral Sciences,Communication,University of South Carolina Columbia,Mass Communications,23,23,30%,61%,23,15,4.6,0%,0%,0%,0%,0%,0%
20024820,Social and Behavioral Sciences,Communication,University of South Florida,Communication,45,25.26,16%,82%,14,46,8.2,0%,75%,0%,0%,20%,0%
20068077,Social and Behavioral Sciences,Communication,University of Southern California,Communication,37,33.15,8%,86%,31,76,13.4,9.2%,50%,6.3%,0%,0%,0%
20032760,Social and Behavioral Sciences,Communication,University of Southern Mississippi,Communication,10,10,20%,70%,10,17,3.5,0%,85.7%,0%,0%,0%,0%
20045715,Social and Behavioral Sciences,Communication,University of Tennessee,Communication and Information,71,50.9,10%,68%,44,43,10.2,12%,48%,0%,0%,0%,0%
20061281,Social and Behavioral Sciences,Communication,University of Texas At Austin,Advertising,21,15.79,14%,81%,14,41,5.6,0%,48.8%,4.8%,0%,0%,0%
20061430,Social and Behavioral Sciences,Communication,University of Texas At Austin,Communication Studies,34,21.07,21%,56%,17,79,11.4,0%,68.5%,13.3%,,,
20061618,Social and Behavioral Sciences,Communication,University of Texas At Austin,Journalism,29,17.1,21%,76%,16,41,5,0%,43.3%,33.3%,0%,0%,0%
20061838,Social and Behavioral Sciences,Communication,University of Texas At Austin,Radio-Television-Film,29,25.22,38%,62%,27,62,8,4.8%,64.5%,12.5%,0%,0%,0%
20047519,Social and Behavioral Sciences,Communication,University of Utah,Communication,53,42.57,23%,72%,37,50,12.2,0%,59.6%,,0%,7.7%,
20059565,Social and Behavioral Sciences,Communication,University of Washington,Communication,57,34.07,12%,75%,27,49,8.2,8.3%,44.4%,0%,11.1%,55.6%,0%
20030474,Social and Behavioral Sciences,Communication,University of Wisconsin-Madison,Communication Arts,20,19.32,30%,,20,55,10.2,1.9%,54.7%,0%,0%,0%,0%
20030801,Social and Behavioral Sciences,Communication,University of Wisconsin-Madison,Mass Communications,25,19.97,16%,,20,57,14,8.2%,24.5%,0%,0%,0%,0%
20058391,Social and Behavioral Sciences,Communication,Washington State University,Edward R. Murrow School of Communication,22,18.86,14%,68%,18,13,4,7.7%,76.9%,0%,0%,0%,0%
20021548,Social and Behavioral Sciences,Communication,Wayne State University,Communication,19,19,16%,26%,19,58,12.4,12.5%,25%,28.6%,0%,0%,0%
20060062,Social and Behavioral Sciences,Economics,American University,Economics,20,20,25%,65%,20,74,15.2,,,,,,
20034920,Social and Behavioral Sciences,Economics,Arizona State University,Economics,18,17.5,,,17,33,9.6,20%,76.7%,0%,0%,10%,0%
20037765,Social and Behavioral Sciences,Economics,Auburn University,Applied Economics,14,13.43,7%,93%,13,21,4,23.1%,0%,,0%,,
20036122,Social and Behavioral Sciences,Economics,Boston College,Economics,25,24.5,20%,80%,24,64,16.2,53.1%,31.3%,0%,0%,0%,0%
20025065,Social and Behavioral Sciences,Economics,Brandeis University,International Economics and Finance,21,21,33%,57%,21,24,7,54.2%,0%,*,*,*,*
20059138,Social and Behavioral Sciences,Economics,Boston University,Economics,34,31.69,26%,71%,31,148,37.4,5%,27.7%,31%,0%,0%,0%
20018247,Social and Behavioral Sciences,Economics,Brown University,Economics,31,29.11,32%,61%,30,81,19.2,0%,41.8%,62.5%,,,
20033109,Social and Behavioral Sciences,Economics,California Institute of Technology,Social Science,18,17.74,0%,89%,18,32,8,29%,54.8%,50%,,,
20071323,Social and Behavioral Sciences,Economics,Carnegie Mellon University,Tepper School of Business-Economics,30,26.09,10%,57%,26,35,9.2,2.9%,0%,20%,0%,40%,0%
20057172,Social and Behavioral Sciences,Economics,City University of New York Grad. Center,Economics,40,39.37,10%,80%,39,96,21.2,0%,0%,0%,0%,13.3%,0%
20017989,Social and Behavioral Sciences,Economics,Claremont Graduate University,Economics,18,14.98,6%,94%,15,76,20.2,5%,0%,,,,
20066817,Social and Behavioral Sciences,Economics,Clark University,Economics,10,9.85,50%,50%,10,35,8.4,0%,0%,33.3%,0%,66.7%,0%
20057606,Social and Behavioral Sciences,Economics,Columbia University In The City of New York,Economics,50,37.14,12%,76%,37,111,19.6,0%,0%,72.4%,6.9%,0%,0%
20015732,Social and Behavioral Sciences,Economics,Cornell University,Economics,54,46.89,17%,83%,53,111,24.4,20.7%,37.8%,52.9%,0%,0%,0%
20027005,Social and Behavioral Sciences,Economics,Drexel University,Business Administration,38,38,50%,45%,38,15,5.75,0%,0%,0%,0%,0%,100%
20030076,Social and Behavioral Sciences,Economics,Duke University,Economics,63,54.38,10%,44%,50,66,17.6,13.6%,59.1%,88.9%,0%,0%,0%
20061964,Social and Behavioral Sciences,Economics,Emory University,Economics,25,22,36%,60%,19,27,5.4,0%,0%,100%,0%,0%,0%
20034629,Social and Behavioral Sciences,Economics,Florida International University,Economics,13,12.7,15%,62%,13,24,4.6,0%,95.8%,0%,0%,4.2%,0%
20027267,Social and Behavioral Sciences,Economics,Florida State University,Economics,28,28,32%,68%,28,34,7.2,3.1%,37.5%,9.1%,0%,0%,0%
20029456,Social and Behavioral Sciences,Economics,Fordham University,Economics,15,15,13%,53%,15,79,12.2,5.6%,11.1%,0%,0%,0%,10%
20019408,Social and Behavioral Sciences,Economics,George Washington University,Economics,28,26.44,21%,79%,27,92,19.2,1.4%,28.4%,11.1%,0%,0%,0%
20022987,Social and Behavioral Sciences,Economics,Georgetown University,Economics,30,28.5,27%,73%,27,62,23.6,0%,59.3%,11.1%,0%,0%,0%
20051495,Social and Behavioral Sciences,Economics,Georgia State University,Economics,32,25.53,34%,63%,31,72,18.4,62.7%,11.9%,15.4%,0%,0%,0%
20065892,Social and Behavioral Sciences,Economics,Harvard University,Business Economics,47,31.11,4%,,46,35,6.6,0%,0%,25%,62.5%,12.5%,0%
20066037,Social and Behavioral Sciences,Economics,Harvard University,Economics,66,44.72,17%,,51,133,23.8,0%,0%,26.9%,53.8%,15.4%,0%
20066309,Social and Behavioral Sciences,Economics,Harvard University,Political Economy & Gov.,44,9.51,5%,,27,17,3,0%,0%,33.3%,33.3%,33.3%,0%
20025984,Social and Behavioral Sciences,Economics,Howard University,Economics,14,13.96,21%,79%,14,39,7.8,,,,,,
20046293,Social and Behavioral Sciences,Economics,Indiana University At Bloomington,Economics,33,26.43,33%,64%,23,78,19.2,2.6%,60.3%,6.7%,0%,0%,0%
20016401,Social and Behavioral Sciences,Economics,Iowa State University,Economics,38,37.24,11%,82%,36,69,17.8,50%,41.4%,,7.1%,,
20056623,Social and Behavioral Sciences,Economics,Johns Hopkins University,Economics,15,13.5,7%,80%,12,61,15.6,0%,0%,0%,0%,56.3%,0%
20028570,Social and Behavioral Sciences,Economics,Kansas State University,Economics,18,15.3,17%,72%,15,25,4.8,0%,100%,,,,
20039459,Social and Behavioral Sciences,Economics,Lehigh University,Economics,24,19.81,4%,83%,16,14,2.8,7.7%,53.8%,0%,0%,0%,0%
20058058,Social and Behavioral Sciences,Economics,Louisiana State University And Agricultural And Mechanical College,Economics,17,12.02,24%,76%,12,26,8,50%,37.5%,0%,0%,0%,0%
20033303,Social and Behavioral Sciences,Economics,Massachusetts Institute of Technology,Economics,46,45.5,17%,70%,46,123,21.6,2.4%,27.6%,45.8%,4.2%,0%,0%
